11

6    -0.4486107785   -0.2027499106   -0.0001890265
6     1.0364292215   -0.2027499106   -0.0001890265
1    -0.8815535656   -1.1983056989   -0.0001890265
8     1.6900937182   -1.2388103464   -0.0001890265
1     1.5207818675    0.7875471530   -0.0001890265
6    -1.2132869971    0.8599516234   -0.7508551547
6    -1.2132849860    0.8592808094    0.7514046956
1    -2.1240650159    0.5688280621   -1.2605718162
1    -0.6535137659    1.6421801340   -1.2532807978
1    -2.1243409230    0.5679406946    1.2605431463
1    -0.6534907748    1.6409568832    1.2546444922
